,precision,recall,f1-score,support
2599,0.75,0.9375,0.8333333333333334,32.0
2600,0.0,0.0,0.0,3.0
2601,0.4,0.38095238095238093,0.3902439024390244,21.0
2602,0.625,0.4166666666666667,0.5,12.0
2605,0.0,0.0,0.0,10.0
2725,0.9444444444444444,0.85,0.8947368421052632,20.0
2726,0.7894736842105263,0.8333333333333334,0.8108108108108109,18.0
2727,1.0,0.04,0.07692307692307693,25.0
2728,0.7674418604651163,0.7674418604651163,0.7674418604651162,43.0
2729,0.8571428571428571,0.75,0.7999999999999999,16.0
2730,0.9,0.9310344827586207,0.9152542372881356,29.0
2731,1.0,0.8333333333333334,0.9090909090909091,12.0
2732,1.0,1.0,1.0,2.0
2733,1.0,0.8571428571428571,0.923076923076923,35.0
2735,0.9090909090909091,1.0,0.9523809523809523,20.0
2736,0.0,0.0,0.0,3.0
2737,1.0,0.2222222222222222,0.3636363636363636,18.0
2738,1.0,0.4,0.5714285714285715,5.0
2739,0.9333333333333333,0.9032258064516129,0.9180327868852459,31.0
2740,0.6486486486486487,0.75,0.6956521739130435,32.0
2741,0.7419354838709677,0.8518518518518519,0.7931034482758621,54.0
2742,0.9142857142857143,0.9411764705882353,0.9275362318840579,34.0
2743,0.9,0.9642857142857143,0.9310344827586207,28.0
2744,0.5470085470085471,0.8421052631578947,0.6632124352331606,76.0
2745,1.0,0.3333333333333333,0.5,9.0
2746,1.0,0.16666666666666666,0.2857142857142857,6.0
2747,0.43283582089552236,0.5,0.464,58.0
2748,0.9166666666666666,0.868421052631579,0.8918918918918918,38.0
2750,1.0,0.25,0.4,4.0
2751,1.0,0.42857142857142855,0.6,7.0
2752,0.8409090909090909,0.8809523809523809,0.8604651162790699,42.0
2753,0.7777777777777778,0.42424242424242425,0.5490196078431373,33.0
2754,0.9365079365079365,0.8939393939393939,0.9147286821705426,66.0
2755,0.6764705882352942,0.696969696969697,0.6865671641791046,99.0
2756,1.0,0.2222222222222222,0.3636363636363636,9.0
2757,0.9444444444444444,0.6296296296296297,0.7555555555555556,27.0
2758,0.6428571428571429,0.6585365853658537,0.6506024096385543,41.0
2759,0.8333333333333334,0.45454545454545453,0.5882352941176471,11.0
2760,1.0,0.38461538461538464,0.5555555555555556,13.0
2761,0.8125,0.4406779661016949,0.5714285714285714,59.0
2762,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
2763,0.9,0.6428571428571429,0.75,56.0
2764,0.6842105263157895,0.7647058823529411,0.7222222222222222,17.0
2765,0.25,0.14285714285714285,0.18181818181818182,14.0
2766,0.5,0.03571428571428571,0.06666666666666667,28.0
2767,0.918918918918919,0.8947368421052632,0.9066666666666667,38.0
2768,0.5,0.4,0.4444444444444445,5.0
2769,0.6809815950920245,0.6686746987951807,0.6747720364741642,166.0
2771,0.8125,0.7428571428571429,0.7761194029850748,70.0
2774,0.75,0.2727272727272727,0.39999999999999997,11.0
2775,0.7833333333333333,0.5164835164835165,0.6225165562913908,91.0
2776,0.0,0.0,0.0,4.0
2777,0.9454545454545454,0.8666666666666667,0.9043478260869566,60.0
2778,0.8888888888888888,0.7441860465116279,0.8101265822784809,43.0
2781,0.8181818181818182,0.5625,0.6666666666666666,16.0
2782,1.0,0.6666666666666666,0.8,3.0
2783,0.0,0.0,0.0,8.0
2784,0.5454545454545454,0.75,0.631578947368421,8.0
2785,0.0,0.0,0.0,1.0
2787,1.0,1.0,1.0,6.0
2788,0.0,0.0,0.0,6.0
2789,0.0,0.0,0.0,5.0
2790,1.0,0.6666666666666666,0.8,3.0
2791,0.9230769230769231,0.8,0.8571428571428571,15.0
2793,0.0,0.0,0.0,5.0
2794,0.0,0.0,0.0,1.0
2795,0.5,0.3333333333333333,0.4,3.0
2796,1.0,0.42857142857142855,0.6,7.0
2802,0.8333333333333334,0.38461538461538464,0.5263157894736842,13.0
2803,0.8175182481751825,0.9180327868852459,0.8648648648648648,122.0
2804,0.656,0.6949152542372882,0.6748971193415638,118.0
2805,1.0,0.2222222222222222,0.3636363636363636,9.0
2824,0.6666666666666666,0.75,0.7058823529411765,40.0
2825,0.8,0.7058823529411765,0.7500000000000001,17.0
2827,0.5,0.06666666666666667,0.11764705882352941,15.0
2829,0.0,0.0,0.0,4.0
2831,0.0,0.0,0.0,1.0
2833,0.6666666666666666,0.14285714285714285,0.23529411764705882,14.0
2837,0.75,0.5454545454545454,0.631578947368421,11.0
2838,0.8571428571428571,0.35294117647058826,0.5,17.0
2840,0.0,0.0,0.0,8.0
2842,0.0,0.0,0.0,1.0
2844,0.0,0.0,0.0,1.0
2846,0.0,0.0,0.0,1.0
2850,0.0,0.0,0.0,2.0
2851,0.0,0.0,0.0,6.0
2857,0.0,0.0,0.0,4.0
2858,1.0,0.6666666666666666,0.8,3.0
2861,0.0,0.0,0.0,1.0
2864,1.0,0.8888888888888888,0.9411764705882353,9.0
2865,1.0,0.7692307692307693,0.8695652173913044,13.0
2880,1.0,0.375,0.5454545454545454,8.0
2881,0.8333333333333334,0.7142857142857143,0.7692307692307692,7.0
2882,0.0,0.0,0.0,4.0
2890,0.7021276595744681,0.9428571428571428,0.8048780487804879,35.0
2895,1.0,0.3333333333333333,0.5,3.0
2896,1.0,0.4444444444444444,0.6153846153846153,9.0
2897,1.0,0.25,0.4,4.0
2898,0.0,0.0,0.0,4.0
10309,0.9333333333333333,0.5,0.6511627906976745,28.0
10868,0.0,0.0,0.0,6.0
10912,0.0,0.0,0.0,4.0
11018,0.5,0.2857142857142857,0.36363636363636365,7.0
11508,0.53125,0.68,0.5964912280701754,25.0
11533,0.9,0.75,0.8181818181818182,12.0
11536,0.0,0.0,0.0,4.0
11539,0.0,0.0,0.0,2.0
11542,0.0,0.0,0.0,4.0
11548,0.0,0.0,0.0,2.0
11549,0.0,0.0,0.0,1.0
11560,0.7692307692307693,0.9523809523809523,0.8510638297872339,21.0
11565,0.0,0.0,0.0,2.0
11568,1.0,0.9,0.9473684210526316,10.0
11573,1.0,0.16666666666666666,0.2857142857142857,12.0
11575,0.25,0.3333333333333333,0.28571428571428575,21.0
11581,0.3,0.34615384615384615,0.32142857142857145,26.0
11584,0.0,0.0,0.0,1.0
11587,1.0,0.9354838709677419,0.9666666666666666,31.0
11594,0.0,0.0,0.0,1.0
11602,0.5454545454545454,0.5454545454545454,0.5454545454545454,22.0
11619,1.0,0.42857142857142855,0.6,7.0
11622,0.8461538461538461,1.0,0.9166666666666666,11.0
11624,0.0,0.0,0.0,3.0
11636,0.7058823529411765,0.9230769230769231,0.8000000000000002,13.0
11637,0.42857142857142855,0.6428571428571429,0.5142857142857143,14.0
11644,1.0,0.5,0.6666666666666666,2.0
11645,1.0,0.14285714285714285,0.25,7.0
11648,0.6666666666666666,0.5517241379310345,0.6037735849056604,29.0
11649,1.0,0.3333333333333333,0.5,6.0
11652,0.0,0.0,0.0,1.0
11657,0.8888888888888888,0.7272727272727273,0.7999999999999999,11.0
11658,0.8461538461538461,0.7333333333333333,0.7857142857142856,15.0
11659,1.0,0.3076923076923077,0.47058823529411764,13.0
11670,1.0,0.4,0.5714285714285715,5.0
11672,1.0,0.5,0.6666666666666666,6.0
11674,0.7,0.5833333333333334,0.6363636363636365,12.0
11678,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
11686,1.0,0.5714285714285714,0.7272727272727273,14.0
11694,1.0,0.07692307692307693,0.14285714285714288,13.0
11708,0.0,0.0,0.0,3.0
11714,0.75,0.17647058823529413,0.2857142857142857,17.0
11717,1.0,0.7,0.8235294117647058,10.0
11731,0.8421052631578947,0.5517241379310345,0.6666666666666666,29.0
11733,0.6,0.5,0.5454545454545454,6.0
11735,0.7,0.5833333333333334,0.6363636363636365,12.0
11743,1.0,0.3333333333333333,0.5,9.0
11749,0.0,0.0,0.0,1.0
11752,0.0,0.0,0.0,2.0
11756,0.7083333333333334,0.8793103448275862,0.7846153846153847,58.0
11757,0.812206572769953,0.9351351351351351,0.8693467336683416,185.0
11762,0.7272727272727273,0.7741935483870968,0.7500000000000001,31.0
11764,1.0,0.2857142857142857,0.4444444444444445,7.0
11774,0.42857142857142855,0.6521739130434783,0.5172413793103448,23.0
11778,1.0,0.75,0.8571428571428571,16.0
11782,0.0,0.0,0.0,1.0
11790,0.9,0.875,0.8873239436619719,72.0
11805,0.8,0.5517241379310345,0.6530612244897959,29.0
