,precision,recall,f1-score,support
2599,0.0,0.0,0.0,32.0
2600,0.0,0.0,0.0,3.0
2601,0.0,0.0,0.0,21.0
2602,0.0,0.0,0.0,12.0
2605,0.0,0.0,0.0,10.0
2725,0.0,0.0,0.0,20.0
2726,0.0,0.0,0.0,18.0
2727,0.0,0.0,0.0,25.0
2728,0.0,0.0,0.0,43.0
2729,0.0,0.0,0.0,16.0
2730,1.0,0.034482758620689655,0.06666666666666667,29.0
2731,0.0,0.0,0.0,12.0
2732,0.0,0.0,0.0,2.0
2733,0.0,0.0,0.0,35.0
2735,0.0,0.0,0.0,20.0
2736,0.0,0.0,0.0,3.0
2737,0.0,0.0,0.0,18.0
2738,0.0,0.0,0.0,5.0
2739,0.0,0.0,0.0,31.0
2740,0.0,0.0,0.0,32.0
2741,0.0,0.0,0.0,54.0
2742,0.0,0.0,0.0,34.0
2743,0.0,0.0,0.0,28.0
2744,0.0,0.0,0.0,76.0
2745,0.0,0.0,0.0,9.0
2746,0.0,0.0,0.0,6.0
2747,0.0,0.0,0.0,58.0
2748,1.0,0.02631578947368421,0.05128205128205127,38.0
2750,0.0,0.0,0.0,4.0
2751,0.0,0.0,0.0,7.0
2752,0.0,0.0,0.0,42.0
2753,0.0,0.0,0.0,33.0
2754,0.7142857142857143,0.07575757575757576,0.136986301369863,66.0
2755,0.3333333333333333,0.020202020202020204,0.0380952380952381,99.0
2756,0.0,0.0,0.0,9.0
2757,0.0,0.0,0.0,27.0
2758,0.0,0.0,0.0,41.0
2759,0.0,0.0,0.0,11.0
2760,1.0,0.07692307692307693,0.14285714285714288,13.0
2761,0.0,0.0,0.0,59.0
2762,0.0,0.0,0.0,6.0
2763,1.0,0.19642857142857142,0.3283582089552239,56.0
2764,0.0,0.0,0.0,17.0
2765,0.0,0.0,0.0,14.0
2766,0.0,0.0,0.0,28.0
2767,0.0,0.0,0.0,38.0
2768,0.0,0.0,0.0,5.0
2769,1.0,0.006024096385542169,0.011976047904191616,166.0
2771,0.0,0.0,0.0,70.0
2774,0.0,0.0,0.0,11.0
2775,0.0,0.0,0.0,91.0
2776,0.0,0.0,0.0,4.0
2777,1.0,0.016666666666666666,0.03278688524590164,60.0
2778,0.0,0.0,0.0,43.0
2781,0.0,0.0,0.0,16.0
2782,0.0,0.0,0.0,3.0
2783,0.0,0.0,0.0,8.0
2784,0.0,0.0,0.0,8.0
2785,0.0,0.0,0.0,1.0
2787,0.0,0.0,0.0,6.0
2788,0.0,0.0,0.0,6.0
2789,0.0,0.0,0.0,5.0
2790,0.0,0.0,0.0,3.0
2791,0.0,0.0,0.0,15.0
2793,0.0,0.0,0.0,5.0
2794,0.0,0.0,0.0,1.0
2795,0.0,0.0,0.0,3.0
2796,0.0,0.0,0.0,7.0
2802,0.0,0.0,0.0,13.0
2803,0.0,0.0,0.0,122.0
2804,0.22151898734177214,0.2966101694915254,0.2536231884057971,118.0
2805,0.0,0.0,0.0,9.0
2824,0.0,0.0,0.0,40.0
2825,0.0,0.0,0.0,17.0
2827,0.0,0.0,0.0,15.0
2829,0.0,0.0,0.0,4.0
2831,0.0,0.0,0.0,1.0
2833,0.0,0.0,0.0,14.0
2837,0.0,0.0,0.0,11.0
2838,0.0,0.0,0.0,17.0
2840,0.0,0.0,0.0,8.0
2842,0.0,0.0,0.0,1.0
2844,0.0,0.0,0.0,1.0
2846,0.0,0.0,0.0,1.0
2850,0.0,0.0,0.0,2.0
2851,0.0,0.0,0.0,6.0
2857,0.0,0.0,0.0,4.0
2858,0.0,0.0,0.0,3.0
2861,0.0,0.0,0.0,1.0
2864,0.0,0.0,0.0,9.0
2865,0.0,0.0,0.0,13.0
2880,0.0,0.0,0.0,8.0
2881,0.0,0.0,0.0,7.0
2882,0.0,0.0,0.0,4.0
2890,0.0,0.0,0.0,35.0
2895,0.0,0.0,0.0,3.0
2896,0.0,0.0,0.0,9.0
2897,0.0,0.0,0.0,4.0
2898,0.0,0.0,0.0,4.0
10309,0.0,0.0,0.0,28.0
10868,0.0,0.0,0.0,6.0
10912,0.0,0.0,0.0,4.0
11018,0.0,0.0,0.0,7.0
11508,0.0,0.0,0.0,25.0
11533,0.0,0.0,0.0,12.0
11536,0.0,0.0,0.0,4.0
11539,0.0,0.0,0.0,2.0
11542,0.0,0.0,0.0,4.0
11548,0.0,0.0,0.0,2.0
11549,0.0,0.0,0.0,1.0
11560,0.0,0.0,0.0,21.0
11565,0.0,0.0,0.0,2.0
11568,0.0,0.0,0.0,10.0
11573,0.0,0.0,0.0,12.0
11575,0.0,0.0,0.0,21.0
11581,0.0,0.0,0.0,26.0
11584,0.0,0.0,0.0,1.0
11587,0.0,0.0,0.0,31.0
11594,0.0,0.0,0.0,1.0
11602,0.0,0.0,0.0,22.0
11619,0.0,0.0,0.0,7.0
11622,0.0,0.0,0.0,11.0
11624,0.0,0.0,0.0,3.0
11636,0.0,0.0,0.0,13.0
11637,0.0,0.0,0.0,14.0
11644,0.0,0.0,0.0,2.0
11645,0.0,0.0,0.0,7.0
11648,0.0,0.0,0.0,29.0
11649,0.0,0.0,0.0,6.0
11652,0.0,0.0,0.0,1.0
11657,0.0,0.0,0.0,11.0
11658,0.0,0.0,0.0,15.0
11659,0.0,0.0,0.0,13.0
11670,0.0,0.0,0.0,5.0
11672,0.0,0.0,0.0,6.0
11674,0.0,0.0,0.0,12.0
11678,0.0,0.0,0.0,6.0
11686,0.0,0.0,0.0,14.0
11694,0.0,0.0,0.0,13.0
11708,0.0,0.0,0.0,3.0
11714,0.0,0.0,0.0,17.0
