,precision,recall,f1-score,support
2599,0.8333333333333334,0.9375,0.8823529411764706,32.0
2600,0.0,0.0,0.0,3.0
2601,0.23529411764705882,0.19047619047619047,0.21052631578947367,21.0
2602,0.6666666666666666,0.5,0.5714285714285715,12.0
2605,0.0,0.0,0.0,10.0
2725,1.0,0.85,0.9189189189189189,20.0
2726,0.8,0.8888888888888888,0.8421052631578948,18.0
2727,0.0,0.0,0.0,25.0
2728,0.7,0.813953488372093,0.7526881720430109,43.0
2729,0.9230769230769231,0.75,0.8275862068965517,16.0
2730,0.84375,0.9310344827586207,0.8852459016393444,29.0
2731,1.0,0.8333333333333334,0.9090909090909091,12.0
2732,0.0,0.0,0.0,2.0
2733,0.96875,0.8857142857142857,0.9253731343283582,35.0
2735,0.9523809523809523,1.0,0.975609756097561,20.0
2736,0.0,0.0,0.0,3.0
2737,1.0,0.2222222222222222,0.3636363636363636,18.0
2738,1.0,0.2,0.33333333333333337,5.0
2739,0.9333333333333333,0.9032258064516129,0.9180327868852459,31.0
2740,0.5909090909090909,0.8125,0.6842105263157896,32.0
2741,0.7678571428571429,0.7962962962962963,0.7818181818181819,54.0
2742,0.8918918918918919,0.9705882352941176,0.9295774647887325,34.0
2743,0.9642857142857143,0.9642857142857143,0.9642857142857143,28.0
2744,0.5304347826086957,0.8026315789473685,0.6387434554973822,76.0
2745,1.0,0.3333333333333333,0.5,9.0
2746,1.0,0.3333333333333333,0.5,6.0
2747,0.5,0.5344827586206896,0.5166666666666667,58.0
2748,0.9166666666666666,0.868421052631579,0.8918918918918918,38.0
2750,0.0,0.0,0.0,4.0
2751,1.0,0.5714285714285714,0.7272727272727273,7.0
2752,0.8636363636363636,0.9047619047619048,0.8837209302325582,42.0
2753,0.7777777777777778,0.42424242424242425,0.5490196078431373,33.0
2754,0.9672131147540983,0.8939393939393939,0.9291338582677166,66.0
2755,0.6597938144329897,0.6464646464646465,0.6530612244897959,99.0
2756,0.0,0.0,0.0,9.0
2757,0.9473684210526315,0.6666666666666666,0.782608695652174,27.0
2758,0.6756756756756757,0.6097560975609756,0.6410256410256411,41.0
2759,0.625,0.45454545454545453,0.5263157894736842,11.0
2760,0.8,0.3076923076923077,0.4444444444444444,13.0
2761,0.8,0.3389830508474576,0.47619047619047616,59.0
2762,0.0,0.0,0.0,6.0
2763,0.8409090909090909,0.6607142857142857,0.74,56.0
2764,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0
2765,0.6666666666666666,0.14285714285714285,0.23529411764705882,14.0
2766,1.0,0.03571428571428571,0.0689655172413793,28.0
2767,0.8709677419354839,0.7105263157894737,0.782608695652174,38.0
2768,1.0,0.2,0.33333333333333337,5.0
2769,0.6793893129770993,0.536144578313253,0.5993265993265993,166.0
2771,0.8387096774193549,0.7428571428571429,0.787878787878788,70.0
2774,1.0,0.2727272727272727,0.42857142857142855,11.0
2775,0.8421052631578947,0.3516483516483517,0.4961240310077519,91.0
2776,0.0,0.0,0.0,4.0
2777,0.9795918367346939,0.8,0.8807339449541285,60.0
2778,0.8648648648648649,0.7441860465116279,0.8,43.0
2781,0.875,0.4375,0.5833333333333334,16.0
2782,1.0,0.3333333333333333,0.5,3.0
2783,0.0,0.0,0.0,8.0
2784,0.5,0.25,0.3333333333333333,8.0
2785,0.0,0.0,0.0,1.0
2787,0.75,1.0,0.8571428571428571,6.0
2788,0.0,0.0,0.0,6.0
2789,0.0,0.0,0.0,5.0
2790,1.0,0.6666666666666666,0.8,3.0
2791,0.8461538461538461,0.7333333333333333,0.7857142857142856,15.0
2793,0.0,0.0,0.0,5.0
2794,0.0,0.0,0.0,1.0
2795,1.0,0.3333333333333333,0.5,3.0
2796,1.0,0.8571428571428571,0.923076923076923,7.0
2802,0.8,0.3076923076923077,0.4444444444444444,13.0
2803,0.8571428571428571,0.9344262295081968,0.8941176470588236,122.0
2804,0.43529411764705883,0.6271186440677966,0.513888888888889,118.0
2805,1.0,0.3333333333333333,0.5,9.0
2824,0.574468085106383,0.675,0.6206896551724138,40.0
2825,0.8,0.7058823529411765,0.7500000000000001,17.0
2827,0.0,0.0,0.0,15.0
2829,0.0,0.0,0.0,4.0
2831,0.0,0.0,0.0,1.0
2833,1.0,0.14285714285714285,0.25,14.0
2837,0.0,0.0,0.0,11.0
2838,1.0,0.47058823529411764,0.6399999999999999,17.0
2840,0.0,0.0,0.0,8.0
2842,0.0,0.0,0.0,1.0
2844,0.0,0.0,0.0,1.0
2846,0.0,0.0,0.0,1.0
2850,0.0,0.0,0.0,2.0
2851,0.0,0.0,0.0,6.0
2857,0.0,0.0,0.0,4.0
2858,0.0,0.0,0.0,3.0
2861,0.0,0.0,0.0,1.0
2864,1.0,0.8888888888888888,0.9411764705882353,9.0
2865,1.0,0.7692307692307693,0.8695652173913044,13.0
2880,1.0,0.125,0.2222222222222222,8.0
2881,0.8,0.5714285714285714,0.6666666666666666,7.0
2882,0.0,0.0,0.0,4.0
2890,0.7857142857142857,0.9428571428571428,0.8571428571428571,35.0
2895,0.0,0.0,0.0,3.0
2896,0.0,0.0,0.0,9.0
2897,0.0,0.0,0.0,4.0
2898,0.0,0.0,0.0,4.0
10309,1.0,0.39285714285714285,0.5641025641025641,28.0
10868,0.0,0.0,0.0,6.0
10912,0.0,0.0,0.0,4.0
11018,0.0,0.0,0.0,7.0
11508,0.6363636363636364,0.84,0.7241379310344828,25.0
11533,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
11536,0.0,0.0,0.0,4.0
11539,0.0,0.0,0.0,2.0
11542,0.0,0.0,0.0,4.0
11548,0.0,0.0,0.0,2.0
11549,0.0,0.0,0.0,1.0
11560,0.8571428571428571,0.8571428571428571,0.8571428571428571,21.0
11565,0.0,0.0,0.0,2.0
11568,1.0,0.8,0.888888888888889,10.0
11573,0.0,0.0,0.0,12.0
11575,0.25925925925925924,0.3333333333333333,0.2916666666666667,21.0
11581,0.47619047619047616,0.38461538461538464,0.42553191489361697,26.0
11584,0.0,0.0,0.0,1.0
11587,1.0,1.0,1.0,31.0
11594,0.0,0.0,0.0,1.0
11602,0.6190476190476191,0.5909090909090909,0.6046511627906977,22.0
11619,0.6666666666666666,0.2857142857142857,0.4,7.0
11622,0.6666666666666666,0.9090909090909091,0.7692307692307692,11.0
11624,0.0,0.0,0.0,3.0
11636,0.625,0.7692307692307693,0.6896551724137931,13.0
11637,0.7142857142857143,0.7142857142857143,0.7142857142857143,14.0
11644,0.0,0.0,0.0,2.0
11645,0.0,0.0,0.0,7.0
11648,0.64,0.5517241379310345,0.5925925925925927,29.0
11649,0.0,0.0,0.0,6.0
11652,0.0,0.0,0.0,1.0
11657,0.9166666666666666,1.0,0.9565217391304348,11.0
11658,0.8461538461538461,0.7333333333333333,0.7857142857142856,15.0
11659,1.0,0.46153846153846156,0.631578947368421,13.0
11670,1.0,0.4,0.5714285714285715,5.0
11672,1.0,0.5,0.6666666666666666,6.0
11674,0.6666666666666666,0.6666666666666666,0.6666666666666666,12.0
11678,0.0,0.0,0.0,6.0
11686,0.9,0.6428571428571429,0.75,14.0
11694,0.0,0.0,0.0,13.0
11708,0.0,0.0,0.0,3.0
11714,0.8,0.23529411764705882,0.3636363636363636,17.0
11717,1.0,0.7,0.8235294117647058,10.0
11731,0.8095238095238095,0.5862068965517241,0.68,29.0
11733,0.6,0.5,0.5454545454545454,6.0
