,precision,recall,f1-score,support
2599,0.896551724137931,0.8125,0.8524590163934426,32.0
2600,0.0,0.0,0.0,3.0
2601,0.0,0.0,0.0,21.0
2602,0.5,0.16666666666666666,0.25,12.0
2605,0.0,0.0,0.0,10.0
2725,1.0,0.05,0.09523809523809523,20.0
2726,1.0,0.16666666666666666,0.2857142857142857,18.0
2727,0.0,0.0,0.0,25.0
2728,0.6857142857142857,0.5581395348837209,0.6153846153846154,43.0
2729,1.0,0.1875,0.3157894736842105,16.0
2730,1.0,0.6551724137931034,0.7916666666666666,29.0
2731,1.0,0.5833333333333334,0.7368421052631579,12.0
2732,1.0,0.5,0.6666666666666666,2.0
2733,0.96,0.6857142857142857,0.7999999999999999,35.0
2735,0.3541666666666667,0.85,0.5,20.0
2736,0.0,0.0,0.0,3.0
2737,1.0,0.16666666666666666,0.2857142857142857,18.0
2738,1.0,0.2,0.33333333333333337,5.0
2739,1.0,0.45161290322580644,0.6222222222222222,31.0
2740,0.75,0.09375,0.16666666666666666,32.0
2741,0.6197183098591549,0.8148148148148148,0.704,54.0
2742,1.0,0.47058823529411764,0.6399999999999999,34.0
2743,1.0,0.7857142857142857,0.88,28.0
2744,0.36416184971098264,0.8289473684210527,0.5060240963855421,76.0
2745,1.0,0.1111111111111111,0.19999999999999998,9.0
2746,0.0,0.0,0.0,6.0
2747,0.5714285714285714,0.3448275862068966,0.43010752688172044,58.0
2748,0.9583333333333334,0.6052631578947368,0.7419354838709677,38.0
2750,0.0,0.0,0.0,4.0
2751,0.0,0.0,0.0,7.0
2752,0.9666666666666667,0.6904761904761905,0.8055555555555556,42.0
2753,1.0,0.15151515151515152,0.2631578947368421,33.0
2754,0.8108108108108109,0.9090909090909091,0.8571428571428571,66.0
2755,0.7884615384615384,0.41414141414141414,0.5430463576158939,99.0
2756,0.0,0.0,0.0,9.0
2757,1.0,0.1111111111111111,0.19999999999999998,27.0
2758,1.0,0.12195121951219512,0.21739130434782605,41.0
2759,0.0,0.0,0.0,11.0
2760,1.0,0.07692307692307693,0.14285714285714288,13.0
2761,0.3333333333333333,0.01694915254237288,0.03225806451612903,59.0
2762,0.0,0.0,0.0,6.0
2763,0.8536585365853658,0.625,0.7216494845360826,56.0
2764,0.6153846153846154,0.47058823529411764,0.5333333333333333,17.0
2765,0.0,0.0,0.0,14.0
2766,0.0,0.0,0.0,28.0
2767,1.0,0.4473684210526316,0.6181818181818182,38.0
2768,0.0,0.0,0.0,5.0
2769,0.66,0.19879518072289157,0.3055555555555556,166.0
