,precision,recall,f1-score,support
2599,1.0,0.125,0.2222222222222222,32.0
2600,0.0,0.0,0.0,3.0
2601,0.0,0.0,0.0,21.0
2602,0.0,0.0,0.0,12.0
2605,0.0,0.0,0.0,10.0
2725,0.0,0.0,0.0,20.0
2726,0.0,0.0,0.0,18.0
2727,0.0,0.0,0.0,25.0
2728,0.6,0.06976744186046512,0.125,43.0
2729,0.0,0.0,0.0,16.0
2730,1.0,0.034482758620689655,0.06666666666666667,29.0
2731,0.0,0.0,0.0,12.0
2732,0.0,0.0,0.0,2.0
2733,1.0,0.08571428571428572,0.15789473684210528,35.0
2735,0.0,0.0,0.0,20.0
2736,0.0,0.0,0.0,3.0
2737,0.0,0.0,0.0,18.0
2738,0.0,0.0,0.0,5.0
2739,0.0,0.0,0.0,31.0
2740,0.0,0.0,0.0,32.0
2741,0.75,0.2222222222222222,0.34285714285714286,54.0
2742,0.0,0.0,0.0,34.0
2743,1.0,0.14285714285714285,0.25,28.0
2744,0.7222222222222222,0.17105263157894737,0.2765957446808511,76.0
2745,0.0,0.0,0.0,9.0
2746,0.0,0.0,0.0,6.0
2747,0.5,0.05172413793103448,0.09375,58.0
2748,1.0,0.05263157894736842,0.1,38.0
2750,0.0,0.0,0.0,4.0
2751,0.0,0.0,0.0,7.0
2752,1.0,0.19047619047619047,0.32,42.0
2753,0.0,0.0,0.0,33.0
2754,1.0,0.15151515151515152,0.2631578947368421,66.0
2755,1.0,0.13131313131313133,0.23214285714285718,99.0
2756,0.0,0.0,0.0,9.0
2757,0.0,0.0,0.0,27.0
2758,0.0,0.0,0.0,41.0
2759,0.0,0.0,0.0,11.0
2760,0.0,0.0,0.0,13.0
2761,0.0,0.0,0.0,59.0
2762,0.0,0.0,0.0,6.0
2763,0.9333333333333333,0.25,0.39436619718309857,56.0
2764,1.0,0.058823529411764705,0.1111111111111111,17.0
2765,0.0,0.0,0.0,14.0
2766,0.0,0.0,0.0,28.0
2767,1.0,0.15789473684210525,0.2727272727272727,38.0
2768,0.0,0.0,0.0,5.0
2769,0.0,0.0,0.0,166.0
2771,1.0,0.3,0.4615384615384615,70.0
