,precision,recall,f1-score,support
2599,0.9090909090909091,0.625,0.7407407407407406,32.0
2600,0.0,0.0,0.0,3.0
2601,0.0,0.0,0.0,21.0
2602,1.0,0.08333333333333333,0.15384615384615385,12.0
2605,0.0,0.0,0.0,10.0
2725,0.0,0.0,0.0,20.0
2726,0.0,0.0,0.0,18.0
2727,0.0,0.0,0.0,25.0
2728,0.75,0.06976744186046512,0.1276595744680851,43.0
2729,0.0,0.0,0.0,16.0
2730,1.0,0.06896551724137931,0.12903225806451613,29.0
2731,0.0,0.0,0.0,12.0
2732,0.0,0.0,0.0,2.0
2733,1.0,0.17142857142857143,0.2926829268292683,35.0
2735,1.0,0.05,0.09523809523809523,20.0
2736,0.0,0.0,0.0,3.0
2737,1.0,0.05555555555555555,0.10526315789473684,18.0
2738,0.0,0.0,0.0,5.0
2739,1.0,0.03225806451612903,0.0625,31.0
2740,0.75,0.09375,0.16666666666666666,32.0
2741,0.7142857142857143,0.2777777777777778,0.4,54.0
2742,1.0,0.058823529411764705,0.1111111111111111,34.0
2743,1.0,0.25,0.4,28.0
2744,0.6,0.35526315789473684,0.4462809917355372,76.0
2745,0.0,0.0,0.0,9.0
2746,0.0,0.0,0.0,6.0
2747,0.52,0.22413793103448276,0.3132530120481928,58.0
2748,1.0,0.15789473684210525,0.2727272727272727,38.0
2750,0.0,0.0,0.0,4.0
2751,0.0,0.0,0.0,7.0
2752,0.9090909090909091,0.47619047619047616,0.6249999999999999,42.0
2753,1.0,0.09090909090909091,0.16666666666666669,33.0
2754,0.9487179487179487,0.5606060606060606,0.7047619047619047,66.0
2755,0.8333333333333334,0.25252525252525254,0.3875968992248062,99.0
2756,0.0,0.0,0.0,9.0
2757,0.0,0.0,0.0,27.0
2758,1.0,0.024390243902439025,0.047619047619047616,41.0
2759,0.0,0.0,0.0,11.0
2760,0.0,0.0,0.0,13.0
2761,1.0,0.03389830508474576,0.06557377049180328,59.0
2762,0.0,0.0,0.0,6.0
2763,0.8947368421052632,0.30357142857142855,0.4533333333333333,56.0
2764,1.0,0.4117647058823529,0.5833333333333334,17.0
2765,0.0,0.0,0.0,14.0
2766,0.0,0.0,0.0,28.0
2767,1.0,0.2631578947368421,0.4166666666666667,38.0
2768,0.0,0.0,0.0,5.0
2769,0.8571428571428571,0.21686746987951808,0.3461538461538462,166.0
2771,1.0,0.42857142857142855,0.6,70.0
2774,0.0,0.0,0.0,11.0
2775,0.9166666666666666,0.24175824175824176,0.3826086956521739,91.0
2776,0.0,0.0,0.0,4.0
2777,1.0,0.6833333333333333,0.8118811881188119,60.0
2778,0.9473684210526315,0.4186046511627907,0.5806451612903226,43.0
2781,0.0,0.0,0.0,16.0
2782,0.0,0.0,0.0,3.0
2783,0.0,0.0,0.0,8.0
2784,0.5,0.125,0.2,8.0
2785,0.0,0.0,0.0,1.0
2787,0.0,0.0,0.0,6.0
2788,0.0,0.0,0.0,6.0
2789,0.0,0.0,0.0,5.0
2790,0.0,0.0,0.0,3.0
2791,1.0,0.2,0.33333333333333337,15.0
2793,0.0,0.0,0.0,5.0
2794,0.0,0.0,0.0,1.0
2795,0.0,0.0,0.0,3.0
2796,0.0,0.0,0.0,7.0
2802,0.0,0.0,0.0,13.0
2803,1.0,0.12295081967213115,0.218978102189781,122.0
2804,0.4393063583815029,0.6440677966101694,0.5223367697594501,118.0
2805,0.0,0.0,0.0,9.0
2824,0.9,0.225,0.36000000000000004,40.0
2825,0.0,0.0,0.0,17.0
2827,0.0,0.0,0.0,15.0
2829,0.0,0.0,0.0,4.0
2831,0.0,0.0,0.0,1.0
2833,0.0,0.0,0.0,14.0
2837,0.0,0.0,0.0,11.0
2838,1.0,0.058823529411764705,0.1111111111111111,17.0
2840,0.0,0.0,0.0,8.0
2842,0.0,0.0,0.0,1.0
2844,0.0,0.0,0.0,1.0
2846,0.0,0.0,0.0,1.0
2850,0.0,0.0,0.0,2.0
2851,0.0,0.0,0.0,6.0
2857,0.0,0.0,0.0,4.0
2858,0.0,0.0,0.0,3.0
2861,0.0,0.0,0.0,1.0
2864,0.0,0.0,0.0,9.0
2865,0.0,0.0,0.0,13.0
2880,0.0,0.0,0.0,8.0
2881,0.0,0.0,0.0,7.0
2882,0.0,0.0,0.0,4.0
2890,0.7333333333333333,0.6285714285714286,0.6769230769230768,35.0
2895,0.0,0.0,0.0,3.0
2896,0.0,0.0,0.0,9.0
2897,0.0,0.0,0.0,4.0
2898,0.0,0.0,0.0,4.0
10309,0.0,0.0,0.0,28.0
10868,0.0,0.0,0.0,6.0
10912,0.0,0.0,0.0,4.0
11018,0.0,0.0,0.0,7.0
11508,0.0,0.0,0.0,25.0
11533,0.0,0.0,0.0,12.0
11536,0.0,0.0,0.0,4.0
11539,0.0,0.0,0.0,2.0
11542,0.0,0.0,0.0,4.0
11548,0.0,0.0,0.0,2.0
11549,0.0,0.0,0.0,1.0
11560,0.0,0.0,0.0,21.0
11565,0.0,0.0,0.0,2.0
11568,0.0,0.0,0.0,10.0
11573,0.0,0.0,0.0,12.0
11575,0.0,0.0,0.0,21.0
11581,0.0,0.0,0.0,26.0
11584,0.0,0.0,0.0,1.0
11587,1.0,0.12903225806451613,0.2285714285714286,31.0
11594,0.0,0.0,0.0,1.0
11602,1.0,0.045454545454545456,0.08695652173913045,22.0
11619,0.0,0.0,0.0,7.0
